층,A,관계,B,방향,조건,조건극성,부호,무게,등급,표본,출처수,교차확인,왜,사슬,근거,대주제A,대주제B,간선id
"L1결정론","간여지동","산출","사화(巳)","a→b","일간이 정(午)화(-) · 자리는 제왕(帝旺)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 간여지동 → 사(巳)","S03 지지·지장간","S03 지지·지장간","E-1ea5a520"
"L1결정론","간여지동","산출","자수(子)","a→b","일간이 임(壬)수(+) · 자리는 제왕(帝旺)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 간여지동 → 자(子)","S03 지지·지장간","S03 지지·지장간","E-4dbfd619"
"L1결정론","간여지동","산출","해","a→b","일간이 계(癸)수(-) · 자리는 제왕(帝旺)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 간여지동 → 해(亥)","S03 지지·지장간","S04 합충형파해","E-3ccc5f18"
"L1결정론","간여지동","산출","술토(戌)","a→b","일간이 무(戊)토(+) · 자리는 묘(墓)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 간여지동 → 술(戌)","S03 지지·지장간","S03 지지·지장간","E-b6a9584b"
"L1결정론","간여지동","산출","축토(丑)","a→b","일간이 기(己)토(-) · 자리는 묘(墓)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 간여지동 → 축(丑)","S03 지지·지장간","S03 지지·지장간","E-d661bf60"
"L1결정론","갑목(甲)","소속","목(木)","a→b","","","중립","1.0","","","","","공리","","천간 오행 배속","S02 천간","S01 음양·오행","E-99e6cc0c"
"L1결정론","갑목(甲)","비화","을목(乙)","무향","","","중립","1.0","","","","","공리","","천간 비화(같은 오행) — 양간↔음간","S02 천간","S02 천간","E-3e5049d3"
"L1결정론","갑목(甲)","생","병화(丙)","a→b","","","+","1.0","","","","","공리","","천간 생 — 목(木)생화(火) · 무정지생(양간→양간)","S02 천간","S02 천간","E-f3836492"
"L1결정론","갑목(甲)","생","정화(丁)","a→b","","","+","1.0","","","","","공리","","천간 생 — 목(木)생화(火) · 유정지생(양간→음간)","S02 천간","S02 천간","E-9715f32a"
"L1결정론","갑목(甲)","극","무토(戊)","a→b","","","-","1.0","","","","","공리","","천간 극 — 목(木)극토(土) · 무정지극(양간→양간)","S02 천간","S02 천간","E-07e1f989"
"L1결정론","갑목(甲)","제화","기토(己)","a→b","","","중립","1.0","","","","","파생","","★목(木)극토(土)인데 천간합으로 묶여 극이 성립하지 않는다(유정지극→합)","S02 천간","S02 천간","E-304b587c"
"L1결정론","갑목(甲)","천간합","기토(己)","무향","","","+","1.0","","","","","파생","","천간 오합","S02 천간","S02 천간","E-2071db73"
"L1결정론","갑목(甲)","천간충","경금(庚)","무향","","","-","1.0","","","","","파생","","천간충(칠충)","S02 천간","S02 천간","E-97ba3726"
"L1결정론","갑목(甲)","산출","기토(己)","a→b","강도 None","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「천간합 조견표」 — 갑기합 강도 None","S02 천간","S02 천간","E-28bad506"
"L1결정론","갑목(甲)","산출","경금(庚)","a→b","강도 None","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「천간충 조견표」 — 갑경충 강도 None","S02 천간","S02 천간","E-c1c7510b"
"L1결정론","건록","순서","제왕","a→b","","","중립","1.0","","","","","목차","","십이운성 12단계 순서(고전 포태법 — CLAUDE.md 260722 확정)","S07 십이운성","S07 십이운성","E-576dacb2"
"L1결정론","건록","산출","인목(寅)","a→b","일간이 갑(甲)목(+) · 판본 고전 포태법 · 화토동법(무=병, 기=정) · 일간이 갑(甲)목(+) · 자리는 건록(乾祿) · 일간이 갑목 · 판본 화토동법(토 일간 = 화 일간과 같은 자리) · 일간이 갑목 · 판본 고전 포태법 — 음간 역행. 토는 화토동법(무=병, 기=정) · 일간이 갑목(甲)","","","1.0","","","","","공리","","[방법론 보드·웹:사공] 보드 조견표 「십이운성 배정 (일간×12단계)」 — 갑(甲)목(+) → 인(寅) (건록(乾祿)) / 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 건록 → 인(寅) / 웹 조견표 「건록(십간록)」 SG-SINSAL-P011-02 — 갑목 → 인목 / ","S07 십이운성","S03 지지·지장간","E-c31888a5"
"L1결정론","건록","산출","묘목(卯)","a→b","일간이 을(乙)목(-) · 판본 고전 포태법 · 화토동법(무=병, 기=정) · 일간이 을(乙)목(-) · 자리는 건록(乾祿) · 일간이 을목 · 판본 화토동법(토 일간 = 화 일간과 같은 자리) · 일간이 을목 · 판본 고전 포태법 — 음간 역행. 토는 화토동법(무=병, 기=정) · 일간이 을목(乙)","","","1.0","","","","","공리","","[방법론 보드·웹:사공] 보드 조견표 「십이운성 배정 (일간×12단계)」 — 을(乙)목(-) → 묘(卯) (건록(乾祿)) / 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 건록 → 묘(卯) / 웹 조견표 「건록(십간록)」 SG-SINSAL-P011-02 — 을목 → 묘목 / ","S07 십이운성","S03 지지·지장간","E-19088e11"
"L1결정론","건록","산출","사화(巳)","a→b","일간이 병(丙)화(+) · 판본 고전 포태법 · 화토동법(무=병, 기=정) · 일간이 무(戊)토(+) · 판본 고전 포태법 · 화토동법(무=병, 기=정) · 일간이 병(丙)화(+) · 자리는 건록(乾祿) · 일간이 무(戊)토(+) · 자리는 건록(乾祿) · 일간이 병화 · 판본 화토동법(토 일간 = 화 일간과 같은 자리) · 일간이 무토 · 판본 화토동법(토 일간 = 화 일간과 같은 자리) · 일간이 병화 · 판본 고전 포태법 — 음간 역행. 토는 화토동법(무=병, 기=정) · 일간이 무토 · 판본 고전 포태법 — 음간 역행. 토는 화토동법(무=병, 기=정) · 일간이 병화(丙) · 일간이 무토(戊)","","","1.0","","","","","공리","","[방법론 보드·웹:사공] 보드 조견표 「십이운성 배정 (일간×12단계)」 — 병(丙)화(+) → 사(巳) (건록(乾祿)) / 보드 조견표 「십이운성 배정 (일간×12단계)」 — 무(戊)토(+) → 사(巳) (건록(乾祿)) / 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 건록","S07 십이운성","S03 지지·지장간","E-9bdaf97c"
"L1결정론","건록","산출","오화(午)","a→b","일간이 정(午)화(-) · 판본 고전 포태법 · 화토동법(무=병, 기=정) · 일간이 기(己)토(-) · 판본 고전 포태법 · 화토동법(무=병, 기=정) · 일간이 정(午)화(-) · 자리는 건록(乾祿) · 일간이 기(己)토(-) · 자리는 건록(乾祿) · 일간이 정화 · 판본 화토동법(토 일간 = 화 일간과 같은 자리) · 일간이 기토 · 판본 화토동법(토 일간 = 화 일간과 같은 자리) · 일간이 정화 · 판본 고전 포태법 — 음간 역행. 토는 화토동법(무=병, 기=정) · 일간이 기토 · 판본 고전 포태법 — 음간 역행. 토는 화토동법(무=병, 기=정) · 일간이 정화(丁) · 일간이 기토(己)","","","1.0","","","","","공리","","[방법론 보드·웹:사공] 보드 조견표 「십이운성 배정 (일간×12단계)」 — 정(午)화(-) → 오(午) (건록(乾祿)) / 보드 조견표 「십이운성 배정 (일간×12단계)」 — 기(己)토(-) → 오(午) (건록(乾祿)) / 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 건록","S07 십이운성","S03 지지·지장간","E-c0f9b5dd"
"L1결정론","건록","산출","신금(申)","a→b","일간이 경(庚)금(+) · 판본 고전 포태법 · 화토동법(무=병, 기=정) · 일간이 경(庚)금(+) · 자리는 건록(乾祿) · 일간이 경금 · 판본 화토동법(토 일간 = 화 일간과 같은 자리) · 일간이 경금 · 판본 고전 포태법 — 음간 역행. 토는 화토동법(무=병, 기=정) · 일간이 경금(庚)","","","1.0","","","","","공리","","[방법론 보드·웹:사공] 보드 조견표 「십이운성 배정 (일간×12단계)」 — 경(庚)금(+) → 신(申) (건록(乾祿)) / 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 건록 → 신(申) / 웹 조견표 「건록(십간록)」 SG-SINSAL-P011-02 — 경금 → 신금 / ","S07 십이운성","S03 지지·지장간","E-f40e3122"
"L1결정론","건록","산출","유금(酉)","a→b","일간이 신(辛)금(-) · 판본 고전 포태법 · 화토동법(무=병, 기=정) · 일간이 신(辛)금(-) · 자리는 건록(乾祿) · 일간이 신금 · 판본 화토동법(토 일간 = 화 일간과 같은 자리) · 일간이 신금 · 판본 고전 포태법 — 음간 역행. 토는 화토동법(무=병, 기=정) · 일간이 신금(辛)","","","1.0","","","","","공리","","[방법론 보드·웹:사공] 보드 조견표 「십이운성 배정 (일간×12단계)」 — 신(辛)금(-) → 유(酉) (건록(乾祿)) / 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 건록 → 유(酉) / 웹 조견표 「건록(십간록)」 SG-SINSAL-P011-02 — 신금 → 유금 / ","S07 십이운성","S03 지지·지장간","E-2b79fb5a"
"L1결정론","건록","산출","해","a→b","일간이 임(壬)수(+) · 판본 고전 포태법 · 화토동법(무=병, 기=정) · 일간이 임(壬)수(+) · 자리는 건록(乾祿)","","","1.0","","","","","공리","","[방법론 보드] 보드 조견표 「십이운성 배정 (일간×12단계)」 — 임(壬)수(+) → 해(亥) (건록(乾祿)) / 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 건록 → 해(亥)","S07 십이운성","S04 합충형파해","E-990ba107"
"L1결정론","건록","산출","자수(子)","a→b","일간이 계(癸)수(-) · 판본 고전 포태법 · 화토동법(무=병, 기=정) · 일간이 계(癸)수(-) · 자리는 건록(乾祿) · 일간이 계수 · 판본 화토동법(토 일간 = 화 일간과 같은 자리) · 일간이 계수 · 판본 고전 포태법 — 음간 역행. 토는 화토동법(무=병, 기=정) · 일간이 계수(癸)","","","1.0","","","","","공리","","[방법론 보드·웹:사공] 보드 조견표 「십이운성 배정 (일간×12단계)」 — 계(癸)수(-) → 자(子) (건록(乾祿)) / 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 건록 → 자(子) / 웹 조견표 「건록(십간록)」 SG-SINSAL-P011-02 — 계수 → 자수 / ","S07 십이운성","S03 지지·지장간","E-08bf4a33"
"L1결정론","건록","산출","해수(亥)","a→b","일간이 임수 · 판본 화토동법(토 일간 = 화 일간과 같은 자리) · 일간이 임수 · 판본 고전 포태법 — 음간 역행. 토는 화토동법(무=병, 기=정) · 일간이 임수(壬)","","","1.0","","","","","공리","","[웹:사공] 웹 조견표 「건록(십간록)」 SG-SINSAL-P011-02 — 임수 → 해수 / 웹 「십이운성 건록지」 SG-BASIC-P066-01 — 임수 → 해수 / 조견표(sinsal.js) — 일간 임수(壬) → 해수(亥)","S07 십이운성","S03 지지·지장간","E-5a2fede7"
"L1결정론","건록","적용","원국·명식","a→b","형·충·파·해 → 글자 특성을 쓰기 어려워진다 · 공망 → 같음","","","1.0","","","","","인과","","[웹:사공] 웹 「록류(건록·협록·암록·금여) 공통 파괴 조건」 SG-SINSAL-P011-02 — {'입력': '형·충·파·해', '출력': ['글자 특성을 쓰기 어려워진다']} / 웹 「록류(건록·협록·암록·금여) 공통 파괴 조건」 SG-SINSAL-P011-02 — {'입력': '","S07 십이운성","S13 자리(궁위)·원국 구조","E-dc7ccb31"
"L1결정론","겁살·재살","산출","생지(역마)","a→b","이전 삼합국의 생지 · 기준지는 연지(기존 명리) 또는 일지(현대 명리) — 판본 갈림 · 판본 기존 명리: 연지(사회 → 나) / 현대 명리: 일지(내 행동 → 사회) — 둘 병기","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「십이신살 산출 조건 (삼합/방합 상대 위치)」 — 겁살 = 이전 삼합국의 생지","S06 신살","S03 지지·지장간","E-b587f54e"
"L1결정론","겁살·재살","산출","왕지(도화)","a→b","반대 삼합국의 왕지 · 기준지는 연지(기존 명리) 또는 일지(현대 명리) — 판본 갈림 · 판본 기존 명리: 연지(사회 → 나) / 현대 명리: 일지(내 행동 → 사회) — 둘 병기","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「십이신살 산출 조건 (삼합/방합 상대 위치)」 — 재살(수옥살) = 반대 삼합국의 왕지","S06 신살","S03 지지·지장간","E-64432b41"
"L1결정론","겁살·재살","산출","신금(申)","a→b","기준지가 봄 (목국) · 판본 기존 명리=연지 기준 / 현대 명리=일지 기준 (둘 다 원문 병기) · 기준 삼합이 해묘미(목)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「십이신살 완전표 (기준 계절국 × 신살 14종)」 — 겁살 → 신(申) / 십이신살 규칙 — 해묘미(목) 기준 겁살 = 신금(申) (겁살 = 왕지 묘목(卯) + 5칸에서 순환)","S06 신살","S03 지지·지장간","E-816be663"
"L1결정론","겁살·재살","산출","유금(酉)","a→b","기준지가 봄 (목국) · 판본 기존 명리=연지 기준 / 현대 명리=일지 기준 (둘 다 원문 병기) · 기준 삼합이 해묘미(목)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「십이신살 완전표 (기준 계절국 × 신살 14종)」 — 재살(수옥살) → 유(酉) / 십이신살 규칙 — 해묘미(목) 기준 재살 = 유금(酉) (겁살 = 왕지 묘목(卯) + 5칸에서 순환)","S06 신살","S03 지지·지장간","E-0624b1b6"
"L1결정론","겁살·재살","산출","해","a→b","기준지가 여름 (화국) · 판본 기존 명리=연지 기준 / 현대 명리=일지 기준 (둘 다 원문 병기)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「십이신살 완전표 (기준 계절국 × 신살 14종)」 — 겁살 → 해(亥)","S06 신살","S04 합충형파해","E-c718ad7e"
"L1결정론","겁살·재살","산출","자수(子)","a→b","기준지가 여름 (화국) · 판본 기존 명리=연지 기준 / 현대 명리=일지 기준 (둘 다 원문 병기) · 기준 삼합이 인오술(화)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「십이신살 완전표 (기준 계절국 × 신살 14종)」 — 재살(수옥살) → 자(子) / 십이신살 규칙 — 인오술(화) 기준 재살 = 자수(子) (겁살 = 왕지 오화(午) + 5칸에서 순환)","S06 신살","S03 지지·지장간","E-9b2ab9ff"
"L1결정론","겁살·재살","산출","인목(寅)","a→b","기준지가 가을 (금국) · 판본 기존 명리=연지 기준 / 현대 명리=일지 기준 (둘 다 원문 병기) · 기준 삼합이 사유축(금)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「십이신살 완전표 (기준 계절국 × 신살 14종)」 — 겁살 → 인(寅) / 십이신살 규칙 — 사유축(금) 기준 겁살 = 인목(寅) (겁살 = 왕지 유금(酉) + 5칸에서 순환)","S06 신살","S03 지지·지장간","E-b0cfb09b"
"L1결정론","겁살·재살","산출","묘목(卯)","a→b","기준지가 가을 (금국) · 판본 기존 명리=연지 기준 / 현대 명리=일지 기준 (둘 다 원문 병기) · 기준 삼합이 사유축(금)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「십이신살 완전표 (기준 계절국 × 신살 14종)」 — 재살(수옥살) → 묘(卯) / 십이신살 규칙 — 사유축(금) 기준 재살 = 묘목(卯) (겁살 = 왕지 유금(酉) + 5칸에서 순환)","S06 신살","S03 지지·지장간","E-c65ed93a"
"L1결정론","겁살·재살","산출","사화(巳)","a→b","기준지가 겨울 (수국) · 판본 기존 명리=연지 기준 / 현대 명리=일지 기준 (둘 다 원문 병기) · 기준 삼합이 신자진(수)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「십이신살 완전표 (기준 계절국 × 신살 14종)」 — 겁살 → 사(巳) / 십이신살 규칙 — 신자진(수) 기준 겁살 = 사화(巳) (겁살 = 왕지 자수(子) + 5칸에서 순환)","S06 신살","S03 지지·지장간","E-fa94232b"
"L1결정론","겁살·재살","산출","오화(午)","a→b","기준지가 겨울 (수국) · 판본 기존 명리=연지 기준 / 현대 명리=일지 기준 (둘 다 원문 병기) · 기준 삼합이 신자진(수)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「십이신살 완전표 (기준 계절국 × 신살 14종)」 — 재살(수옥살) → 오(午) / 십이신살 규칙 — 신자진(수) 기준 재살 = 오화(午) (겁살 = 왕지 자수(子) + 5칸에서 순환)","S06 신살","S03 지지·지장간","E-3a227319"
"L1결정론","겁살·재살","산출","해수(亥)","a→b","기준 삼합이 인오술(화)","","","1.0","","","","","공리","","십이신살 규칙 — 인오술(화) 기준 겁살 = 해수(亥) (겁살 = 왕지 오화(午) + 5칸에서 순환)","S06 신살","S03 지지·지장간","E-c3b921fa"
"L1결정론","겁재","전제","음양","b→a","","","중립","1.0","","","","","목차","","결정론: 겁재 = 위 오행 관계 + 일간과 음양이 다르다","S05 십성·육친","S01 음양·오행","E-3c4bb671"
"L1결정론","겁재","생","상관","a→b","","","+","1.0","","","","","공리","","십성 생 순환(이극성 그룹) · 보드 Section2 생극제화 to/from 대조 일치","S05 십성·육친","S05 십성·육친","E-f78ccc35"
"L1결정론","겁재","극","정재","a→b","","","-","1.0","","","","","공리","","십성 극 순환(이극성 그룹) · 보드 Section2 생극제화 to/from 대조 일치","S05 십성·육친","S05 십성·육친","E-833a27d0"
"L1결정론","겁재","산출","상관","a→b","내가 생한다 · 나를 생한다","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「십성 생극제화 (to/from)」 — 겁재 to 상관 / 방법론 보드 「십성 생극제화 (to/from)」 — 겁재 from→ 상관","S05 십성·육친","S05 십성·육친","E-d3b9cb06"
"L1결정론","겁재","산출","정재","a→b","내가 극한다","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「십성 생극제화 (to/from)」 — 겁재 to 정재","S05 십성·육친","S05 십성·육친","E-b4396273"
"L1결정론","경금(庚)","소속","금(金)","a→b","","","중립","1.0","","","","","공리","","천간 오행 배속","S02 천간","S01 음양·오행","E-c519b637"
"L1결정론","경금(庚)","극","갑목(甲)","a→b","","","-","1.0","","","","","공리","","천간 극 — 금(金)극목(木) · 무정지극(양간→양간)","S02 천간","S02 천간","E-2d8aa4e8"
"L1결정론","경금(庚)","제화","을목(乙)","a→b","","","중립","1.0","","","","","파생","","★금(金)극목(木)인데 천간합으로 묶여 극이 성립하지 않는다(유정지극→합)","S02 천간","S02 천간","E-68ef3ce1"
"L1결정론","경금(庚)","비화","신금(辛)","무향","","","중립","1.0","","","","","공리","","천간 비화(같은 오행) — 양간↔음간","S02 천간","S02 천간","E-1ddcda7e"
"L1결정론","경금(庚)","생","임수(壬)","a→b","","","+","1.0","","","","","공리","","천간 생 — 금(金)생수(水) · 무정지생(양간→양간)","S02 천간","S02 천간","E-30fff613"
"L1결정론","경금(庚)","생","계수(癸)","a→b","","","+","1.0","","","","","공리","","천간 생 — 금(金)생수(水) · 유정지생(양간→음간)","S02 천간","S02 천간","E-0037ff29"
"L1결정론","계수(癸)","소속","수(水)","a→b","","","중립","1.0","","","","","공리","","천간 오행 배속","S02 천간","S01 음양·오행","E-47945f53"
"L1결정론","계수(癸)","생","갑목(甲)","a→b","","","+","1.0","","","","","공리","","천간 생 — 수(水)생목(木) · 유정지생(음간→양간)","S02 천간","S02 천간","E-b26ab6e3"
"L1결정론","계수(癸)","생","을목(乙)","a→b","","","+","1.0","","","","","공리","","천간 생 — 수(水)생목(木) · 무정지생(음간→음간)","S02 천간","S02 천간","E-7ea3dcdc"
"L1결정론","계수(癸)","극","병화(丙)","a→b","","","-","1.0","","","","","공리","","천간 극 — 수(水)극화(火) · 유정지극(음간→양간)","S02 천간","S02 천간","E-1ae4aebd"
"L1결정론","계수(癸)","극","정화(丁)","a→b","","","-","1.0","","","","","공리","","천간 극 — 수(水)극화(火) · 무정지극(음간→음간)","S02 천간","S02 천간","E-b596d308"
"L1결정론","계수(癸)","비화","임수(壬)","무향","","","중립","1.0","","","","","공리","","천간 비화(같은 오행) — 음간↔양간","S02 천간","S02 천간","E-59c91bde"
"L1결정론","고란살","산출","사화(巳)","a→b","일간이 을(乙)목(-) · 자리는 목욕(沐浴) · 성립요건 여, + · 일간이 정(午)화(-) · 자리는 제왕(帝旺) · 성립요건 여","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 고란 → 사(巳) / 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 고란 → 사(巳)","S06 신살","S03 지지·지장간","E-0a80fee0"
"L1결정론","고란살","산출","해","a→b","일간이 신(辛)금(-) · 자리는 목욕(沐浴) · 성립요건 여, +","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 고란살 → 해(亥)","S06 신살","S04 합충형파해","E-56c6b54f"
"L1결정론","고란살","산출","인목(寅)","a→b","일간이 갑(甲)목(+) · 자리는 건록(乾祿) · 성립요건 여","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 고란살 → 인(寅)","S06 신살","S03 지지·지장간","E-32b00b74"
"L1결정론","고란살","산출","신금(申)","a→b","일간이 무(戊)토(+) · 자리는 병(病) · 성립요건 여","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 고란살 → 신(申)","S06 신살","S03 지지·지장간","E-0cf2a908"
"L1결정론","고신·과숙","산출","생지(역마)","a→b","다음 방합국의 생지 · 기준지는 연지(기존 명리) 또는 일지(현대 명리) — 판본 갈림 · 판본 기존 명리: 연지(사회 → 나) / 현대 명리: 일지(내 행동 → 사회) — 둘 병기","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「십이신살 산출 조건 (삼합/방합 상대 위치)」 — 고신살(남) = 다음 방합국의 생지","S06 신살","S03 지지·지장간","E-ecdc581d"
"L1결정론","고신·과숙","산출","고지(화개)","a→b","이전 방합국의 고지 · 기준지는 연지(기존 명리) 또는 일지(현대 명리) — 판본 갈림 · 판본 기존 명리: 연지(사회 → 나) / 현대 명리: 일지(내 행동 → 사회) — 둘 병기","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「십이신살 산출 조건 (삼합/방합 상대 위치)」 — 과숙살(여) = 이전 방합국의 고지","S06 신살","S03 지지·지장간","E-a000585f"
"L1결정론","고신·과숙","산출","사화(巳)","a→b","기준지가 봄 (목국) · 판본 기존 명리=연지 기준 / 현대 명리=일지 기준 (둘 다 원문 병기)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「십이신살 완전표 (기준 계절국 × 신살 14종)」 — 고신살(남) → 사(巳)","S06 신살","S03 지지·지장간","E-ec4dd9ba"
"L1결정론","고신·과숙","산출","축토(丑)","a→b","기준지가 봄 (목국) · 판본 기존 명리=연지 기준 / 현대 명리=일지 기준 (둘 다 원문 병기)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「십이신살 완전표 (기준 계절국 × 신살 14종)」 — 과숙살(여) → 축(丑)","S06 신살","S03 지지·지장간","E-82493bc8"
"L1결정론","고신·과숙","산출","신금(申)","a→b","기준지가 여름 (화국) · 판본 기존 명리=연지 기준 / 현대 명리=일지 기준 (둘 다 원문 병기)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「십이신살 완전표 (기준 계절국 × 신살 14종)」 — 고신살(남) → 신(申)","S06 신살","S03 지지·지장간","E-617dfb86"
"L1결정론","고신·과숙","산출","진토(辰)","a→b","기준지가 여름 (화국) · 판본 기존 명리=연지 기준 / 현대 명리=일지 기준 (둘 다 원문 병기)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「십이신살 완전표 (기준 계절국 × 신살 14종)」 — 과숙살(여) → 진(辰)","S06 신살","S03 지지·지장간","E-dbd3a49f"
"L1결정론","고신·과숙","산출","해","a→b","기준지가 가을 (금국) · 판본 기존 명리=연지 기준 / 현대 명리=일지 기준 (둘 다 원문 병기)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「십이신살 완전표 (기준 계절국 × 신살 14종)」 — 고신살(남) → 해(亥)","S06 신살","S04 합충형파해","E-bc1c6fae"
"L1결정론","고신·과숙","산출","미토(未)","a→b","기준지가 가을 (금국) · 판본 기존 명리=연지 기준 / 현대 명리=일지 기준 (둘 다 원문 병기)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「십이신살 완전표 (기준 계절국 × 신살 14종)」 — 과숙살(여) → 미(未)","S06 신살","S03 지지·지장간","E-d5e6da3f"
"L1결정론","고신·과숙","산출","인목(寅)","a→b","기준지가 겨울 (수국) · 판본 기존 명리=연지 기준 / 현대 명리=일지 기준 (둘 다 원문 병기)","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「십이신살 완전표 (기준 계절국 × 신살 14종)」 — 고신살(남) → 인(寅)","S06 신살","S03 지지·지장간","E-b748f7ce"
